year,sex,age,population
1926,Male,0,28084
1936,Male,0,27152
1946,Male,0,33798
1951,Male,0,32630
1961,Male,0,32137
1966,Male,0,32514
1971,Male,0,33276
1979,Male,0,36171
1981,Male,0,37717
1986,Male,0,31315
1991,Male,0,27390
1996,Male,0,25231
1997,Male,0,26077
1998,Male,0,27036
1999,Male,0,27437
2000,Male,0,27633
2001,Male,0,28427
2002,Male,0,27805
2003,Male,0,31047
2004,Male,0,31452
2005,Male,0,31490
2006,Male,0,31302
2007,Male,0,34101
2008,Male,0,36855
2009,Male,0,37673
2010,Male,0,38480
2011,Male,0,36880
2012,Male,0,37255
2013,Male,0,35061
2014,Male,0,34332
2015,Male,0,32806
2016,Male,0,31854
2017,Male,0,32691
2018,Male,0,31266
1926,Female,0,27307
1936,Female,0,26454
1946,Female,0,32283
1951,Female,0,30927
1961,Female,0,30635
1966,Female,0,31075
1971,Female,0,31610
1979,Female,0,35182
1981,Female,0,35662
1986,Female,0,29857
1991,Female,0,25654
1996,Female,0,23623
1997,Female,0,24414
1998,Female,0,25564
1999,Female,0,25905
2000,Female,0,25998
2001,Female,0,26658
2002,Female,0,26694
2003,Female,0,29407
2004,Female,0,30151
2005,Female,0,29563
2006,Female,0,29779
2007,Female,0,32213
2008,Female,0,35540
2009,Female,0,35901
2010,Female,0,36467
2011,Female,0,35572
2012,Female,0,35428
2013,Female,0,33522
2014,Female,0,32603
2015,Female,0,31354
2016,Female,0,30355
2017,Female,0,31259
2018,Female,0,30263
1926,Male,1,28374
1936,Male,1,27228
1946,Male,1,30242
1951,Male,1,32083
1961,Male,1,30885
1966,Male,1,32686
1971,Male,1,32752
1979,Male,1,35027
1981,Male,1,38032
1986,Male,1,31856
1991,Male,1,27110
1996,Male,1,24963
1997,Male,1,25610
1998,Male,1,26427
1999,Male,1,27462
2000,Male,1,27801
2001,Male,1,27879
2002,Male,1,28311
2003,Male,1,27889
2004,Male,1,31266
2005,Male,1,31492
2006,Male,1,31113
2007,Male,1,31404
2008,Male,1,33784
2009,Male,1,36116
2010,Male,1,36671
2011,Male,1,37202
2012,Male,1,36333
2013,Male,1,36700
2014,Male,1,34528
2015,Male,1,33975
2016,Male,1,32792
2017,Male,1,31835
2018,Male,1,32878
1926,Female,1,27502
1936,Female,1,26267
1946,Female,1,28956
1951,Female,1,30719
1961,Female,1,29791
1966,Female,1,31496
1971,Female,1,31454
1979,Female,1,33302
1981,Female,1,35832
1986,Female,1,29850
1991,Female,1,25837
1996,Female,1,23611
1997,Female,1,23986
1998,Female,1,24753
1999,Female,1,25850
2000,Female,1,26191
2001,Female,1,26444
2002,Female,1,27051
2003,Female,1,26739
2004,Female,1,29534
2005,Female,1,29856
2006,Female,1,29341
2007,Female,1,29623
2008,Female,1,32301
2009,Female,1,34952
2010,Female,1,34968
2011,Female,1,35391
2012,Female,1,35202
2013,Female,1,35085
2014,Female,1,33130
2015,Female,1,32300
2016,Female,1,31163
2017,Female,1,30444
2018,Female,1,31424
1926,Male,2,29728
1936,Male,2,27664
1946,Male,2,29673
1951,Male,2,31932
1961,Male,2,30250
1966,Male,2,32437
1971,Male,2,31693
1979,Male,2,34291
1981,Male,2,35382
1986,Male,2,32999
1991,Male,2,27054
1996,Male,2,25245
1997,Male,2,25203
1998,Male,2,25962
1999,Male,2,26866
2000,Male,2,27886
2001,Male,2,28332
2002,Male,2,28794
2003,Male,2,28435
2004,Male,2,27761
2005,Male,2,30886
2006,Male,2,31014
2007,Male,2,31456
2008,Male,2,31695
2009,Male,2,34051
2010,Male,2,36378
2011,Male,2,37148
2012,Male,2,36641
2013,Male,2,35792
2014,Male,2,36101
2015,Male,2,34186
2016,Male,2,33996
2017,Male,2,32769
2018,Male,2,32029
1926,Female,2,28545
1936,Female,2,26730
1946,Female,2,28498
1951,Female,2,30494
1961,Female,2,28825
1966,Female,2,31097
1971,Female,2,30015
1979,Female,2,32772
1981,Female,2,34313
1986,Female,2,31134
1991,Female,2,25668
1996,Female,2,23766
1997,Female,2,23833
1998,Female,2,24257
1999,Female,2,25106
2000,Female,2,26503
2001,Female,2,27116
2002,Female,2,27553
2003,Female,2,27265
2004,Female,2,26588
2005,Female,2,29053
2006,Female,2,29688
2007,Female,2,29399
